QUARTET_TYPE	COUNT(ab|cd)	COUNT(ac|bd)	COUNT(ad|bc)
C1-C1-C1-C10	2381460	2381460	2381460
C1-C1-C1-C11	2381460	2381460	2381460
C1-C1-C1-C12	19051680	19051680	19051680
C1-C1-C1-C13	2381460	2381460	2381460
C1-C1-C1-C14	2381460	2381460	2381460
C1-C1-C1-C2	7144380	7144380	7144380
C1-C1-C1-C3	2381460	2381460	2381460
C1-C1-C1-C4	2381460	2381460	2381460
C1-C1-C1-C5	2381460	2381460	2381460
C1-C1-C1-C6	4762920	4762920	4762920
C1-C1-C1-C7	2381460	2381460	2381460
C1-C1-C1-C8	2381460	2381460	2381460
C1-C1-C1-C9	7144380	7144380	7144380
C1-C12-C12-C12	2339680	2339680	2339680
C1-C2-C2-C2	41780	41780	41780
C1-C9-C9-C9	41780	41780	41780
C10-C12-C12-C12	116984	116984	116984
C10-C2-C2-C2	2089	2089	2089
C10-C9-C9-C9	2089	2089	2089
C11-C12-C12-C12	116984	116984	116984
C11-C2-C2-C2	2089	2089	2089
C11-C9-C9-C9	2089	2089	2089
C12-C12-C12-C13	116984	116984	116984
C12-C12-C12-C14	116984	116984	116984
C12-C12-C12-C2	350952	350952	350952
C12-C12-C12-C3	116984	116984	116984
C12-C12-C12-C4	116984	116984	116984
C12-C12-C12-C5	116984	116984	116984
C12-C12-C12-C6	233968	233968	233968
C12-C12-C12-C7	116984	116984	116984
C12-C12-C12-C8	116984	116984	116984
C12-C12-C12-C9	350952	350952	350952
C12-C2-C2-C2	16712	16712	16712
C12-C9-C9-C9	16712	16712	16712
C13-C2-C2-C2	2089	2089	2089
C13-C9-C9-C9	2089	2089	2089
C14-C2-C2-C2	2089	2089	2089
C14-C9-C9-C9	2089	2089	2089
C2-C2-C2-C3	2089	2089	2089
C2-C2-C2-C4	2089	2089	2089
C2-C2-C2-C5	2089	2089	2089
C2-C2-C2-C6	4178	4178	4178
C2-C2-C2-C7	2089	2089	2089
C2-C2-C2-C8	2089	2089	2089
C2-C2-C2-C9	6267	6267	6267
C2-C9-C9-C9	6267	6267	6267
C3-C9-C9-C9	2089	2089	2089
C4-C9-C9-C9	2089	2089	2089
C5-C9-C9-C9	2089	2089	2089
C6-C9-C9-C9	4178	4178	4178
C7-C9-C9-C9	2089	2089	2089
C8-C9-C9-C9	2089	2089	2089
