QUARTET_TYPE	COUNT(ab|cd)	COUNT(ac|bd)	COUNT(ad|bc)
C1-C1-C1-C10	2381460	2381460	2381460
C1-C1-C1-C11	2381460	2381460	2381460
C1-C1-C1-C12	19051680	19051680	19051680
C1-C1-C1-C13	2381460	2381460	2381460
C1-C1-C1-C14	2381460	2381460	2381460
C1-C1-C1-C2	7144380	7144380	7144380
C1-C1-C1-C3	2381460	2381460	2381460
C1-C1-C1-C4	2381460	2381460	2381460
C1-C1-C1-C5	2381460	2381460	2381460
C1-C1-C1-C6	4762920	4762920	4762920
C1-C1-C1-C7	2381460	2381460	2381460
C1-C1-C1-C8	2381460	2381460	2381460
C1-C1-C1-C9	7144380	7144380	7144380
C1-C1-C10-C11	395076	1834	1834
C1-C1-C10-C12	3152718	22562	22562
C1-C1-C10-C13	394936	1974	1974
C1-C1-C10-C14	394884	2026	2026
C1-C1-C10-C2	1149658	41072	41072
C1-C1-C10-C3	393914	2996	2996
C1-C1-C10-C4	393338	3572	3572
C1-C1-C10-C5	393327	3583	3583
C1-C1-C10-C6	787265	6555	6555
C1-C1-C10-C7	394420	2490	2490
C1-C1-C10-C8	392768	4142	4142
C1-C1-C10-C9	1182490	8240	8240
C1-C1-C11-C12	3154639	20641	20641
C1-C1-C11-C13	395198	1712	1712
C1-C1-C11-C14	395070	1840	1840
C1-C1-C11-C2	1150419	40311	40311
C1-C1-C11-C3	394113	2797	2797
C1-C1-C11-C4	393671	3239	3239
C1-C1-C11-C5	393342	3568	3568
C1-C1-C11-C6	787463	6357	6357
C1-C1-C11-C7	394736	2174	2174
C1-C1-C11-C8	392991	3919	3919
C1-C1-C11-C9	1183121	7609	7609
C1-C1-C12-C12	11074567	38913	38913
C1-C1-C12-C13	3155000	20280	20280
C1-C1-C12-C14	3156123	19157	19157
C1-C1-C12-C2	9185337	340503	340503
C1-C1-C12-C3	3148392	26888	26888
C1-C1-C12-C4	3146303	28977	28977
C1-C1-C12-C5	3142243	33037	33037
C1-C1-C12-C6	6291806	58754	58754
C1-C1-C12-C7	3150854	24426	24426
C1-C1-C12-C8	3136164	39116	39116
C1-C1-C12-C9	9442417	83423	83423
C1-C1-C13-C14	396301	609	609
C1-C1-C13-C2	1149942	40788	40788
C1-C1-C13-C3	393842	3068	3068
C1-C1-C13-C4	393604	3306	3306
C1-C1-C13-C5	393332	3578	3578
C1-C1-C13-C6	787379	6441	6441
C1-C1-C13-C7	394598	2312	2312
C1-C1-C13-C8	392961	3949	3949
C1-C1-C13-C9	1183145	7585	7585
C1-C1-C14-C2	1150242	40488	40488
C1-C1-C14-C3	393885	3025	3025
C1-C1-C14-C4	393533	3377	3377
C1-C1-C14-C5	393337	3573	3573
C1-C1-C14-C6	787579	6241	6241
C1-C1-C14-C7	394546	2364	2364
C1-C1-C14-C8	392776	4134	4134
C1-C1-C14-C9	1182704	8026	8026
C1-C1-C2-C2	1156514	34216	34216
C1-C1-C2-C3	1146579	44151	44151
C1-C1-C2-C4	1145947	44783	44783
C1-C1-C2-C5	1144878	45852	45852
C1-C1-C2-C6	2292009	89451	89451
C1-C1-C2-C7	1149981	40749	40749
C1-C1-C2-C8	1143986	46744	46744
C1-C1-C2-C9	3443223	128967	128967
C1-C1-C3-C4	394018	2892	2892
C1-C1-C3-C5	392728	4182	4182
C1-C1-C3-C6	786176	7644	7644
C1-C1-C3-C7	393653	3257	3257
C1-C1-C3-C8	392167	4743	4743
C1-C1-C3-C9	1180307	10423	10423
C1-C1-C4-C5	392982	3928	3928
C1-C1-C4-C6	785372	8448	8448
C1-C1-C4-C7	393892	3018	3018
C1-C1-C4-C8	391872	5038	5038
C1-C1-C4-C9	1180372	10358	10358
C1-C1-C5-C6	783855	9965	9965
C1-C1-C5-C7	393565	3345	3345
C1-C1-C5-C8	392043	4867	4867
C1-C1-C5-C9	1179631	11099	11099
C1-C1-C6-C6	395356	1554	1554
C1-C1-C6-C7	786478	7342	7342
C1-C1-C6-C8	782735	11085	11085
C1-C1-C6-C9	2356843	24617	24617
C1-C1-C7-C8	392353	4557	4557
C1-C1-C7-C9	1181587	9143	9143
C1-C1-C8-C9	1181133	9597	9597
C1-C1-C9-C9	1185807	4923	4923
C1-C10-C12-C12	1161123	8717	8717
C1-C10-C2-C2	120806	4534	4534
C1-C10-C6-C6	41525	255	255
C1-C10-C9-C9	124683	657	657
C1-C11-C12-C12	1162960	6880	6880
C1-C11-C2-C2	120662	4678	4678
C1-C11-C6-C6	41485	295	295
C1-C11-C9-C9	124703	637	637
C1-C12-C12-C12	2339680	2339680	2339680
C1-C12-C12-C13	4809	4809	1165031
C1-C12-C12-C14	5769	5769	1164071
C1-C12-C12-C2	19986	19986	3489534
C1-C12-C12-C3	7005	7005	1162835
C1-C12-C12-C4	6879	6879	1162961
C1-C12-C12-C5	8411	8411	1161429
C1-C12-C12-C6	14155	14155	2325525
C1-C12-C12-C7	7466	7466	1162374
C1-C12-C12-C8	7049	7049	1162791
C1-C12-C12-C9	19605	19605	3489915
C1-C12-C2-C2	964736	37984	37984
C1-C12-C6-C6	332289	1951	1951
C1-C12-C9-C9	997334	5386	5386
C1-C13-C2-C2	120254	5086	5086
C1-C13-C6-C6	41585	195	195
C1-C13-C9-C9	124731	609	609
C1-C14-C2-C2	120414	4926	4926
C1-C14-C6-C6	41625	155	155
C1-C14-C9-C9	124735	605	605
C1-C2-C2-C2	41780	41780	41780
C1-C2-C2-C3	4666	4666	120674
C1-C2-C2-C4	4768	4768	120572
C1-C2-C2-C5	4886	4886	120454
C1-C2-C2-C6	9512	9512	241168
C1-C2-C2-C7	5086	5086	120254
C1-C2-C2-C8	4930	4930	120410
C1-C2-C2-C9	15008	15008	361012
C1-C2-C6-C6	124633	707	707
C1-C2-C9-C9	373693	2327	2327
C1-C3-C6-C6	41501	279	279
C1-C3-C9-C9	124541	799	799
C1-C4-C6-C6	41423	357	357
C1-C4-C9-C9	124591	749	749
C1-C5-C6-C6	41485	295	295
C1-C5-C9-C9	124689	651	651
C1-C6-C6-C7	300	300	41480
C1-C6-C6-C8	375	375	41405
C1-C6-C6-C9	1005	1005	124335
C1-C6-C9-C9	248970	1710	1710
C1-C7-C9-C9	124441	899	899
C1-C8-C9-C9	53673	71667	71667
C1-C9-C9-C9	41780	41780	41780
C10-C11-C12-C12	58106	386	386
C10-C11-C2-C2	6207	60	60
C10-C11-C6-C6	2077	12	12
C10-C11-C9-C9	6246	21	21
C10-C12-C12-C12	116984	116984	116984
C10-C12-C12-C13	282	282	58210
C10-C12-C12-C14	253	253	58239
C10-C12-C12-C2	1223	1223	174253
C10-C12-C12-C3	368	368	58124
C10-C12-C12-C4	326	326	58166
C10-C12-C12-C5	398	398	58094
C10-C12-C12-C6	724	724	116260
C10-C12-C12-C7	327	327	58165
C10-C12-C12-C8	345	345	58147
C10-C12-C12-C9	1068	1068	174408
C10-C12-C2-C2	49590	546	546
C10-C12-C6-C6	16660	52	52
C10-C12-C9-C9	49945	191	191
C10-C13-C2-C2	6188	79	79
